position;label
0.372698413;hihat
0.372698413;kick
0.646349206;hihat
0.911111111;hihat
0.911111111;kick
0.911111111;snare
1.184761905;hihat
1.445442177;hihat
1.445442177;kick
1.735238095;hihat
2;hihat
2;kick
2;snare
2.287619048;hihat
