Start;Duration;Pitch;Velocity;Label
23.5344655;0.258620500000003;60;0.6171875;Tenor
23.793086;1.034482;62;0.6328125;Tenor
19.137917;0.517240999999999;48;0.59375;Basso
19.655158;0.517241000000002;50;0.6015625;Basso
20.172399;0.517240999999999;52;0.609375;Basso
20.68964;0.775861500000001;53;0.609375;Basso
21.4655015;0.12931025;55;0.609375;Basso
21.59481175;0.12931025;53;0.59375;Basso
21.724122;0.517240999999999;52;0.578125;Basso
22.241363;0.517241000000002;57;0.640625;Basso
22.758604;0.517240999999999;50;0.5625;Basso
23.275845;0.775861500000001;55;0.6171875;Basso
24.0517065;0.258620499999999;57;0.6171875;Basso
24.310327;0.258620499999999;55;0.59375;Basso
24.5689475;0.258620499999999;53;0.5703125;Basso
